ModeBeforeSwitch,ModeAfterSwitch,ErrorPhase,ErrorType,WritePattern,WriteLength,LogicalLBAAlignment,PowerCycle
PCIe,SD,Format_SES0_FFLBA2,Wordline_WordlineShort,Random,DiePageAligned,Unalignedto4K,Frequent_25Commands
PCIe,PCIe,PCIeFunctionalLevelResetIdleState,Wordline_WordlineShort,Sequential_Random,Unalignedto4K,Alignedto4K,Frequent_25Commands
PCIe,SD,NvmControllerResetWithAdminAndIOCmds,GracefulShutdown,Random,Alignedto4K,Unalignedto4K,NoPowerCycle
PCIe,PCIe,Format_SES2_FFLBA2,ProgramFailure,Sequential_Random,DiePageAligned,Alignedto4K,Frequent_25Commands
PCIe,PCIe,PCIeLinkResetIdleState,Wordline_WordlineShort,Sequential,SingleSector,AlignedtoDiePage,Frequent_25Commands
PCIe,PCIe,PCIeLinkResetIdleState,EraseFailure,Overlapped,DiePageAligned,Alignedto4K,InFrequent_75Commands
PCIe,PCIe,ShortDST,GracefulShutdown,Overlapped,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
PCIe,SD,PCIeFunctionalLevelResetIdleState,ProgramFailure,Random,DiePageAligned,Unalignedto4K,NoPowerCycle
PCIe,SD,Format_SES1_FFLBA2,UnGracefulShutdown,Sequential,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
PCIe,PCIe,PCIeFunctionalLevelResetWithAdminAndIOCmds,UnGracefulShutdown,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
PCIe,PCIe,Format_SES0_FFLBA2,CorrectableECC_DecodePass,Sequential_Random,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,Format_SES1_FFLBA2,GracefulShutdown,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
PCIe,SD,Format_SES2_FFLBA2,GracefulShutdown,Random,DiePageAligned,Unalignedto4K,NoPowerCycle
PCIe,PCIe,PCIeFunctionalLevelResetWithAdminAndIOCmds,ProgramFailure,Random,DiePageAligned,AlignedtoDiePage,Frequent_25Commands
PCIe,PCIe,NvmSubSystemResetIdleState,UnGracefulShutdown,Random,DiePageAligned,Unalignedto4K,NoPowerCycle
PCIe,SD,ExtenedDST,GracefulShutdown,Sequential_Random,SingleSector,AlignedtoDiePage,NoPowerCycle
PCIe,SD,ShortDST,EraseFailure,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
PCIe,SD,NvmSubSystemResetIdleState,CorrectableECC_DecodePass,Random,Alignedto4K,Alignedto4K,InFrequent_75Commands
PCIe,SD,ExtenedDST,EraseFailure,Overlapped,DiePageAligned,Alignedto4K,Frequent_25Commands
PCIe,SD,Format_SES2_FFLBA0,UncorrectableECC_DecodeFail,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
PCIe,PCIe,NvmControllerResetWithAdminAndIOCmds,Wordline_WordlineShort,Random,SingleSector,Alignedto4K,Frequent_25Commands
PCIe,PCIe,PCIeFunctionalLevelResetIdleState,UnGracefulShutdown,Random,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
PCIe,SD,NvmControllerResetIdleState,EraseFailure,Overlapped,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,NvmSubSystemResetWithAdminAndIOCmds,GracefulShutdown,Sequential_Random,DiePageAligned,Unalignedto4K,Frequent_25Commands
PCIe,PCIe,Format_SES0_FFLBA0,UnGracefulShutdown,Sequential_Random,Unalignedto4K,Alignedto4K,NoPowerCycle
PCIe,SD,Format_SES1_FFLBA0,ProgramFailure,Sequential,Alignedto4K,Alignedto4K,InFrequent_75Commands
SD,SD,DuringWriteToBootBlock,ProgramFailure,Random,DiePageAligned,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,DuringWriteToFSBlock,GracefulShutdown,Random,DiePageAligned,Unalignedto4K,Frequent_25Commands
SD,PCIe,DuringWriteToLogBlock,EraseFailure,Random,Alignedto4K,AlignedtoDiePage,InFrequent_75Commands
SD,SD,DuringWriteToMTMBlock,UnGracefulShutdown,Random,Alignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,SD,DuringWriteToBootBlock,UnGracefulShutdown,Sequential_Random,DiePageAligned,Alignedto4K,Frequent_25Commands
PCIe,SD,PCIeHotLinkResetWithAdminAndIOCmds,CorrectableECC_DecodePass,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,PCIeHotLinkResetWithAdminAndIOCmds,EraseFailure,Random,DiePageAligned,Unalignedto4K,InFrequent_75Commands
PCIe,PCIe,PCIeLinkResetWithAdminAndIOCmds,UnGracefulShutdown,Random,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,DuringWriteToBootBlock,UncorrectableECC_DecodeFail,Sequential,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
PCIe,PCIe,PCIeFunctionalLevelResetWithAdminAndIOCmds,UncorrectableECC_DecodeFail,Sequential_Random,DiePageAligned,Unalignedto4K,NoPowerCycle
PCIe,SD,PCIeFunctionalLevelResetIdleState,GracefulShutdown,Sequential_Random,Alignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,SD,NvmSubSystemResetIdleState,EraseFailure,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,PCIeLinkResetIdleState,CorrectableECC_DecodePass,Sequential_Random,SingleSector,Alignedto4K,NoPowerCycle
PCIe,PCIe,ShortDST,UncorrectableECC_DecodeFail,Overlapped,Alignedto4K,Unalignedto4K,InFrequent_75Commands
PCIe,PCIe,NvmControllerResetWithAdminAndIOCmds,UnGracefulShutdown,Sequential,Alignedto4K,Alignedto4K,InFrequent_75Commands
SD,SD,DuringWriteToXORBlock,CorrectableECC_DecodePass,Sequential_Random,Alignedto4K,Unalignedto4K,InFrequent_75Commands
SD,SD,DuringWriteToLogBlock,CorrectableECC_DecodePass,Sequential,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
SD,PCIe,DuringTLCtoSLCRelocation,UncorrectableECC_DecodeFail,Sequential_Random,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
SD,PCIe,DuringWriteToXORBlock,GracefulShutdown,Random,DiePageAligned,Alignedto4K,Frequent_25Commands
PCIe,SD,ExtenedDST,CorrectableECC_DecodePass,Sequential,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
PCIe,SD,NvmControllerResetIdleState,UncorrectableECC_DecodeFail,Random,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
PCIe,SD,DuringTLCtoSLCRelocation,GracefulShutdown,Overlapped,DiePageAligned,AlignedtoDiePage,Frequent_25Commands
PCIe,PCIe,Format_SES1_FFLBA0,UnGracefulShutdown,Sequential_Random,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
PCIe,SD,DuringTLCtoSLCRelocation,CorrectableECC_DecodePass,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
SD,PCIe,DuringSLCtoTLCRelocation,Wordline_WordlineShort,Random,SingleSector,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,Format_SES2_FFLBA2,UncorrectableECC_DecodeFail,Sequential,Alignedto4K,Alignedto4K,InFrequent_75Commands
PCIe,SD,Format_SES1_FFLBA2,ProgramFailure,Random,SingleSector,AlignedtoDiePage,InFrequent_75Commands
PCIe,SD,NvmSubSystemResetWithAdminAndIOCmds,UncorrectableECC_DecodeFail,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,Format_SES0_FFLBA2,EraseFailure,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,Format_SES2_FFLBA0,ProgramFailure,Random,Alignedto4K,Alignedto4K,InFrequent_75Commands
PCIe,SD,Format_SES0_FFLBA0,Wordline_WordlineShort,Sequential,DiePageAligned,Unalignedto4K,InFrequent_75Commands
SD,SD,DuringSLCtoTLCRelocation,GracefulShutdown,Sequential,DiePageAligned,Alignedto4K,InFrequent_75Commands
PCIe,SD,DuringSLCtoTLCRelocation,UncorrectableECC_DecodeFail,Overlapped,DiePageAligned,Alignedto4K,NoPowerCycle
PCIe,PCIe,Format_SES1_FFLBA2,CorrectableECC_DecodePass,Overlapped,Unalignedto4K,Unalignedto4K,Frequent_25Commands
PCIe,SD,Format_SES0_FFLBA2,ProgramFailure,Sequential_Random,Unalignedto4K,Unalignedto4K,NoPowerCycle
PCIe,PCIe,Format_SES0_FFLBA0,UncorrectableECC_DecodeFail,Random,SingleSector,Unalignedto4K,NoPowerCycle
PCIe,SD,Format_SES0_FFLBA2,GracefulShutdown,Sequential_Random,SingleSector,Unalignedto4K,InFrequent_75Commands
PCIe,SD,Format_SES2_FFLBA0,GracefulShutdown,Sequential_Random,DiePageAligned,Alignedto4K,NoPowerCycle
PCIe,PCIe,NvmSubSystemResetWithAdminAndIOCmds,ProgramFailure,Overlapped,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
SD,PCIe,HostWrites,UnGracefulShutdown,Random,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
PCIe,PCIe,Format_SES1_FFLBA2,UncorrectableECC_DecodeFail,Sequential_Random,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
PCIe,SD,Format_SES1_FFLBA0,GracefulShutdown,Overlapped,DiePageAligned,Alignedto4K,Frequent_25Commands
PCIe,SD,Format_SES2_FFLBA2,EraseFailure,Sequential_Random,SingleSector,Unalignedto4K,Frequent_25Commands
PCIe,PCIe,Format_SES2_FFLBA2,Wordline_WordlineShort,Sequential_Random,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
SD,SD,DuringWriteToLogBlock,UnGracefulShutdown,Sequential,DiePageAligned,Unalignedto4K,InFrequent_75Commands
PCIe,SD,ExtenedDST,UnGracefulShutdown,Overlapped,Alignedto4K,Unalignedto4K,InFrequent_75Commands
PCIe,SD,Format_SES0_FFLBA0,GracefulShutdown,Random,Alignedto4K,Alignedto4K,Frequent_25Commands
PCIe,SD,DuringWriteToLogBlock,UncorrectableECC_DecodeFail,Random,SingleSector,Unalignedto4K,InFrequent_75Commands
PCIe,SD,Format_SES2_FFLBA0,CorrectableECC_DecodePass,Sequential_Random,SingleSector,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,Format_SES1_FFLBA0,EraseFailure,Random,DiePageAligned,Unalignedto4K,InFrequent_75Commands
SD,PCIe,DuringWriteToBootBlock,GracefulShutdown,Sequential,SingleSector,Unalignedto4K,InFrequent_75Commands
PCIe,PCIe,PCIeHotLinkResetWithAdminAndIOCmds,UncorrectableECC_DecodeFail,Random,Alignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,SD,NvmSubSystemResetWithAdminAndIOCmds,UnGracefulShutdown,Random,Alignedto4K,Unalignedto4K,InFrequent_75Commands
PCIe,PCIe,ExtenedDST,Wordline_WordlineShort,Random,SingleSector,Alignedto4K,InFrequent_75Commands
PCIe,SD,PCIeHotLinkResetWithAdminAndIOCmds,Wordline_WordlineShort,Sequential_Random,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
SD,PCIe,DuringWriteToXORBlock,ProgramFailure,Random,Unalignedto4K,Unalignedto4K,NoPowerCycle
PCIe,PCIe,DuringWriteToXORBlock,UnGracefulShutdown,Overlapped,Alignedto4K,Alignedto4K,Frequent_25Commands
PCIe,SD,DuringTLCtoSLCRelocation,Wordline_WordlineShort,Random,SingleSector,AlignedtoDiePage,NoPowerCycle
SD,SD,DuringWriteToXORBlock,UncorrectableECC_DecodeFail,Sequential_Random,SingleSector,AlignedtoDiePage,Frequent_25Commands
PCIe,PCIe,HostWrites,UncorrectableECC_DecodeFail,Sequential,SingleSector,Alignedto4K,Frequent_25Commands
PCIe,SD,DuringWriteToXORBlock,Wordline_WordlineShort,Sequential,DiePageAligned,Unalignedto4K,InFrequent_75Commands
PCIe,SD,Format_SES2_FFLBA2,UnGracefulShutdown,Sequential,DiePageAligned,Unalignedto4K,InFrequent_75Commands
PCIe,PCIe,DuringWriteToLogBlock,Wordline_WordlineShort,Overlapped,Unalignedto4K,Unalignedto4K,NoPowerCycle
PCIe,PCIe,ExtenedDST,ProgramFailure,Sequential,Unalignedto4K,Alignedto4K,InFrequent_75Commands
SD,PCIe,DuringSLCtoTLCRelocation,CorrectableECC_DecodePass,Random,Unalignedto4K,Alignedto4K,Frequent_25Commands
PCIe,PCIe,DuringWriteToMTMBlock,GracefulShutdown,Sequential_Random,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
SD,SD,DuringWriteToFSBlock,EraseFailure,Sequential_Random,Alignedto4K,Alignedto4K,Frequent_25Commands
PCIe,PCIe,Format_SES0_FFLBA2,UnGracefulShutdown,Sequential,DiePageAligned,Unalignedto4K,Frequent_25Commands
PCIe,PCIe,NvmSubSystemResetIdleState,UncorrectableECC_DecodeFail,Overlapped,DiePageAligned,AlignedtoDiePage,Frequent_25Commands
PCIe,SD,Format_SES1_FFLBA2,EraseFailure,Random,DiePageAligned,Unalignedto4K,NoPowerCycle
SD,SD,DuringWriteToMTMBlock,UncorrectableECC_DecodeFail,Sequential,Alignedto4K,Alignedto4K,InFrequent_75Commands
PCIe,SD,NvmSubSystemResetIdleState,Wordline_WordlineShort,Sequential_Random,Alignedto4K,Unalignedto4K,Frequent_25Commands
PCIe,PCIe,PCIeFunctionalLevelResetIdleState,UncorrectableECC_DecodeFail,Random,SingleSector,Unalignedto4K,NoPowerCycle
PCIe,PCIe,NvmControllerResetIdleState,ProgramFailure,Sequential,DiePageAligned,AlignedtoDiePage,Frequent_25Commands
PCIe,SD,PCIeFunctionalLevelResetWithAdminAndIOCmds,CorrectableECC_DecodePass,Overlapped,Unalignedto4K,Alignedto4K,NoPowerCycle
PCIe,SD,HostWrites,EraseFailure,Overlapped,Alignedto4K,Alignedto4K,InFrequent_75Commands
PCIe,PCIe,ExtenedDST,UncorrectableECC_DecodeFail,Random,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,ShortDST,Wordline_WordlineShort,Sequential_Random,DiePageAligned,Alignedto4K,NoPowerCycle
PCIe,SD,PCIeLinkResetWithAdminAndIOCmds,Wordline_WordlineShort,Sequential_Random,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
PCIe,PCIe,PCIeLinkResetIdleState,UnGracefulShutdown,Random,Unalignedto4K,Unalignedto4K,NoPowerCycle
PCIe,PCIe,PCIeFunctionalLevelResetWithAdminAndIOCmds,EraseFailure,Sequential,DiePageAligned,Alignedto4K,InFrequent_75Commands
PCIe,PCIe,Format_SES2_FFLBA0,EraseFailure,Random,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,SD,NvmControllerResetWithAdminAndIOCmds,CorrectableECC_DecodePass,Overlapped,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
PCIe,PCIe,DuringWriteToMTMBlock,ProgramFailure,Sequential_Random,Unalignedto4K,Unalignedto4K,NoPowerCycle
PCIe,PCIe,PCIeLinkResetWithAdminAndIOCmds,EraseFailure,Random,DiePageAligned,Unalignedto4K,Frequent_25Commands
SD,SD,NoError,NoError,Sequential_Random,DiePageAligned,Unalignedto4K,Frequent_25Commands
PCIe,SD,NvmSubSystemResetWithAdminAndIOCmds,UnGracefulShutdown,Sequential,SingleSector,Alignedto4K,Frequent_25Commands
PCIe,SD,NvmControllerResetIdleState,UnGracefulShutdown,Sequential,Alignedto4K,AlignedtoDiePage,InFrequent_75Commands
SD,PCIe,DuringWriteToBootBlock,Wordline_WordlineShort,Overlapped,DiePageAligned,Alignedto4K,InFrequent_75Commands
PCIe,PCIe,Format_SES1_FFLBA0,EraseFailure,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
PCIe,SD,PCIeLinkResetIdleState,CorrectableECC_DecodePass,Random,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,PCIeHotLinkResetWithAdminAndIOCmds,ProgramFailure,Overlapped,Unalignedto4K,Alignedto4K,InFrequent_75Commands
SD,SD,DuringWriteToLogBlock,EraseFailure,Sequential_Random,DiePageAligned,Alignedto4K,NoPowerCycle
PCIe,PCIe,DuringWriteToFSBlock,CorrectableECC_DecodePass,Sequential,DiePageAligned,Alignedto4K,Frequent_25Commands
PCIe,PCIe,DuringTLCtoSLCRelocation,Wordline_WordlineShort,Sequential,Unalignedto4K,Alignedto4K,Frequent_25Commands
PCIe,SD,Format_SES0_FFLBA0,GracefulShutdown,Overlapped,DiePageAligned,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,DuringSLCtoTLCRelocation,EraseFailure,Sequential_Random,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
PCIe,SD,DuringWriteToFSBlock,UnGracefulShutdown,Sequential_Random,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
PCIe,SD,PCIeFunctionalLevelResetIdleState,UnGracefulShutdown,Overlapped,Alignedto4K,Unalignedto4K,Frequent_25Commands
PCIe,SD,NvmControllerResetWithAdminAndIOCmds,Wordline_WordlineShort,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,SD,Format_SES1_FFLBA2,Wordline_WordlineShort,Sequential_Random,Alignedto4K,Alignedto4K,Frequent_25Commands
PCIe,PCIe,PCIeHotLinkResetWithAdminAndIOCmds,UnGracefulShutdown,Sequential_Random,Alignedto4K,Unalignedto4K,NoPowerCycle
SD,PCIe,DuringWriteToMTMBlock,CorrectableECC_DecodePass,Random,DiePageAligned,Unalignedto4K,InFrequent_75Commands
PCIe,PCIe,PCIeLinkResetWithAdminAndIOCmds,UncorrectableECC_DecodeFail,Sequential_Random,Unalignedto4K,Alignedto4K,Frequent_25Commands
PCIe,PCIe,Format_SES2_FFLBA2,CorrectableECC_DecodePass,Random,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,Format_SES1_FFLBA0,UncorrectableECC_DecodeFail,Random,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
PCIe,PCIe,ShortDST,EraseFailure,Sequential_Random,Alignedto4K,Alignedto4K,Frequent_25Commands
PCIe,SD,DuringWriteToFSBlock,ProgramFailure,Random,Alignedto4K,Alignedto4K,InFrequent_75Commands
PCIe,SD,PCIeFunctionalLevelResetIdleState,CorrectableECC_DecodePass,Sequential_Random,DiePageAligned,Unalignedto4K,NoPowerCycle
PCIe,PCIe,Format_SES0_FFLBA2,UncorrectableECC_DecodeFail,Random,Unalignedto4K,Alignedto4K,InFrequent_75Commands
PCIe,SD,NvmControllerResetIdleState,EraseFailure,Random,Alignedto4K,Alignedto4K,Frequent_25Commands
PCIe,SD,NvmSubSystemResetWithAdminAndIOCmds,EraseFailure,Random,DiePageAligned,AlignedtoDiePage,NoPowerCycle
SD,SD,HostWrites,GracefulShutdown,Random,Alignedto4K,Alignedto4K,NoPowerCycle
PCIe,PCIe,Format_SES2_FFLBA2,Wordline_WordlineShort,Overlapped,Alignedto4K,Unalignedto4K,Frequent_25Commands
PCIe,PCIe,DuringWriteToBootBlock,EraseFailure,Random,Alignedto4K,Unalignedto4K,Frequent_25Commands
PCIe,SD,PCIeFunctionalLevelResetWithAdminAndIOCmds,GracefulShutdown,Sequential_Random,SingleSector,Alignedto4K,Frequent_25Commands
SD,PCIe,DuringSLCtoTLCRelocation,EraseFailure,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
PCIe,SD,PCIeLinkResetWithAdminAndIOCmds,CorrectableECC_DecodePass,Sequential,Alignedto4K,Alignedto4K,InFrequent_75Commands
PCIe,SD,Format_SES0_FFLBA0,CorrectableECC_DecodePass,Sequential_Random,Alignedto4K,Unalignedto4K,Frequent_25Commands
PCIe,SD,ShortDST,UnGracefulShutdown,Sequential,DiePageAligned,Unalignedto4K,Frequent_25Commands
PCIe,SD,Format_SES0_FFLBA2,UnGracefulShutdown,Overlapped,Alignedto4K,Alignedto4K,InFrequent_75Commands
PCIe,SD,PCIeHotLinkResetWithAdminAndIOCmds,GracefulShutdown,Random,SingleSector,Alignedto4K,NoPowerCycle
PCIe,PCIe,NvmSubSystemResetIdleState,UnGracefulShutdown,Sequential,SingleSector,Alignedto4K,Frequent_25Commands
PCIe,PCIe,NvmControllerResetWithAdminAndIOCmds,ProgramFailure,Sequential_Random,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
PCIe,PCIe,Format_SES2_FFLBA0,UnGracefulShutdown,Sequential,DiePageAligned,Alignedto4K,Frequent_25Commands
PCIe,SD,ExtenedDST,UnGracefulShutdown,Sequential_Random,DiePageAligned,AlignedtoDiePage,NoPowerCycle
PCIe,SD,PCIeLinkResetIdleState,EraseFailure,Sequential_Random,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
PCIe,SD,Format_SES1_FFLBA2,Wordline_WordlineShort,Sequential,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
PCIe,SD,NvmControllerResetIdleState,UnGracefulShutdown,Sequential_Random,Unalignedto4K,Unalignedto4K,Frequent_25Commands
PCIe,PCIe,Format_SES0_FFLBA0,UncorrectableECC_DecodeFail,Sequential,Unalignedto4K,Alignedto4K,InFrequent_75Commands
SD,PCIe,DuringWriteToXORBlock,UncorrectableECC_DecodeFail,Sequential,Unalignedto4K,Alignedto4K,InFrequent_75Commands
SD,PCIe,DuringTLCtoSLCRelocation,CorrectableECC_DecodePass,Sequential_Random,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,NvmSubSystemResetWithAdminAndIOCmds,ProgramFailure,Sequential_Random,Unalignedto4K,Unalignedto4K,NoPowerCycle
PCIe,PCIe,PCIeHotLinkResetWithAdminAndIOCmds,EraseFailure,Sequential_Random,SingleSector,AlignedtoDiePage,Frequent_25Commands
PCIe,SD,Format_SES2_FFLBA0,UnGracefulShutdown,Overlapped,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
PCIe,SD,DuringWriteToBootBlock,CorrectableECC_DecodePass,Sequential_Random,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
SD,PCIe,DuringTLCtoSLCRelocation,UnGracefulShutdown,Random,Alignedto4K,Unalignedto4K,Frequent_25Commands
PCIe,PCIe,NvmSubSystemResetWithAdminAndIOCmds,Wordline_WordlineShort,Overlapped,Unalignedto4K,Alignedto4K,Frequent_25Commands
PCIe,SD,PCIeHotLinkResetWithAdminAndIOCmds,CorrectableECC_DecodePass,Overlapped,Alignedto4K,Unalignedto4K,Frequent_25Commands
PCIe,PCIe,PCIeFunctionalLevelResetIdleState,CorrectableECC_DecodePass,Sequential,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,Format_SES0_FFLBA0,ProgramFailure,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,DuringSLCtoTLCRelocation,UnGracefulShutdown,Random,DiePageAligned,Unalignedto4K,InFrequent_75Commands
PCIe,SD,Format_SES2_FFLBA0,EraseFailure,Overlapped,Alignedto4K,Unalignedto4K,Frequent_25Commands
SD,SD,DuringWriteToXORBlock,Wordline_WordlineShort,Random,Alignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,Format_SES2_FFLBA2,UnGracefulShutdown,Overlapped,Unalignedto4K,Alignedto4K,NoPowerCycle
PCIe,SD,Format_SES1_FFLBA0,ProgramFailure,Sequential_Random,SingleSector,Unalignedto4K,Frequent_25Commands
SD,SD,DuringTLCtoSLCRelocation,UnGracefulShutdown,Sequential,SingleSector,Alignedto4K,InFrequent_75Commands
PCIe,SD,Format_SES1_FFLBA0,Wordline_WordlineShort,Overlapped,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,NvmControllerResetWithAdminAndIOCmds,UncorrectableECC_DecodeFail,Random,DiePageAligned,Unalignedto4K,NoPowerCycle
PCIe,PCIe,Format_SES0_FFLBA2,ProgramFailure,Overlapped,DiePageAligned,AlignedtoDiePage,Frequent_25Commands
PCIe,PCIe,DuringWriteToLogBlock,GracefulShutdown,Overlapped,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
PCIe,SD,ShortDST,Wordline_WordlineShort,Random,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
PCIe,PCIe,HostWrites,ProgramFailure,Overlapped,DiePageAligned,Unalignedto4K,NoPowerCycle
PCIe,PCIe,Format_SES1_FFLBA0,GracefulShutdown,Sequential,SingleSector,AlignedtoDiePage,InFrequent_75Commands
PCIe,SD,Format_SES1_FFLBA2,GracefulShutdown,Overlapped,Unalignedto4K,Alignedto4K,InFrequent_75Commands
PCIe,PCIe,Format_SES2_FFLBA0,UncorrectableECC_DecodeFail,Sequential_Random,SingleSector,Alignedto4K,Frequent_25Commands
SD,PCIe,HostWrites,UnGracefulShutdown,Sequential_Random,DiePageAligned,Alignedto4K,NoPowerCycle
PCIe,PCIe,NvmControllerResetIdleState,GracefulShutdown,Sequential,DiePageAligned,Alignedto4K,InFrequent_75Commands
PCIe,SD,ShortDST,ProgramFailure,Overlapped,DiePageAligned,Alignedto4K,InFrequent_75Commands
PCIe,SD,PCIeLinkResetIdleState,UnGracefulShutdown,Sequential,Alignedto4K,Alignedto4K,InFrequent_75Commands
PCIe,PCIe,NvmControllerResetWithAdminAndIOCmds,EraseFailure,Overlapped,Alignedto4K,Alignedto4K,NoPowerCycle
SD,SD,HostWrites,Wordline_WordlineShort,Sequential,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
PCIe,SD,PCIeLinkResetIdleState,UncorrectableECC_DecodeFail,Sequential_Random,SingleSector,Unalignedto4K,InFrequent_75Commands
PCIe,PCIe,PCIeFunctionalLevelResetIdleState,EraseFailure,Random,SingleSector,AlignedtoDiePage,Frequent_25Commands
SD,PCIe,DuringTLCtoSLCRelocation,ProgramFailure,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
PCIe,PCIe,DuringWriteToXORBlock,UnGracefulShutdown,Sequential_Random,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
SD,SD,DuringWriteToLogBlock,CorrectableECC_DecodePass,Sequential_Random,Alignedto4K,Unalignedto4K,NoPowerCycle
PCIe,PCIe,Format_SES0_FFLBA2,EraseFailure,Sequential_Random,SingleSector,Alignedto4K,InFrequent_75Commands
SD,PCIe,DuringTLCtoSLCRelocation,EraseFailure,Overlapped,Unalignedto4K,Alignedto4K,InFrequent_75Commands
PCIe,PCIe,PCIeFunctionalLevelResetWithAdminAndIOCmds,EraseFailure,Random,Alignedto4K,Unalignedto4K,NoPowerCycle
PCIe,PCIe,Format_SES2_FFLBA2,GracefulShutdown,Sequential_Random,SingleSector,AlignedtoDiePage,InFrequent_75Commands
SD,SD,DuringWriteToLogBlock,Wordline_WordlineShort,Sequential,SingleSector,Alignedto4K,InFrequent_75Commands
PCIe,SD,DuringWriteToBootBlock,Wordline_WordlineShort,Sequential,SingleSector,AlignedtoDiePage,Frequent_25Commands
PCIe,PCIe,DuringWriteToMTMBlock,UncorrectableECC_DecodeFail,Sequential_Random,DiePageAligned,AlignedtoDiePage,NoPowerCycle
SD,PCIe,DuringWriteToFSBlock,CorrectableECC_DecodePass,Sequential_Random,Alignedto4K,Unalignedto4K,NoPowerCycle
PCIe,PCIe,DuringWriteToBootBlock,CorrectableECC_DecodePass,Overlapped,Alignedto4K,Alignedto4K,NoPowerCycle
PCIe,PCIe,PCIeHotLinkResetWithAdminAndIOCmds,UnGracefulShutdown,Sequential,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,NvmSubSystemResetIdleState,GracefulShutdown,Overlapped,Unalignedto4K,Alignedto4K,InFrequent_75Commands
PCIe,PCIe,DuringWriteToBootBlock,UncorrectableECC_DecodeFail,Overlapped,DiePageAligned,Unalignedto4K,InFrequent_75Commands
PCIe,SD,NvmSubSystemResetIdleState,Wordline_WordlineShort,Random,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
